192.168.0.160,192.168.0.138,192.168.0.106,192.168.0.161
1.29,1.3,1.35,1.33
1.3,1.34,1.42,1.37
1.4,1.37,1.42,1.4
1.44,1.41,1.45,1.49
1.45,1.42,1.46,1.5
1.45,1.43,1.46,1.52
1.47,1.44,1.47,1.53
1.47,1.44,1.47,1.53
1.48,1.44,1.48,1.54
1.48,1.47,1.49,1.54
1.48,1.48,1.5,1.55
1.48,1.48,1.5,1.56
1.48,1.5,1.5,1.56
1.49,1.5,1.51,1.57
1.49,1.52,1.51,1.57
1.49,1.53,1.52,1.6
1.49,1.53,1.53,1.6
1.5,1.54,1.53,1.61
1.5,1.54,1.53,1.62
1.5,1.54,1.54,1.62
1.51,1.54,1.54,1.64
1.52,1.54,1.54,1.64
1.52,1.55,1.54,1.65
1.52,1.55,1.55,1.66
1.52,1.56,1.55,1.66
1.53,1.57,1.55,1.67
1.53,1.57,1.55,1.67
1.54,1.57,1.56,1.67
1.55,1.57,1.56,1.68
1.55,1.57,1.57,1.68
1.55,1.57,1.57,1.68
1.55,1.57,1.58,1.68
1.55,1.58,1.58,1.68
1.56,1.58,1.59,1.69
1.56,1.58,1.59,1.69
1.56,1.59,1.59,1.69
1.56,1.59,1.6,1.69
1.57,1.59,1.6,1.7
1.57,1.6,1.6,1.7
1.58,1.6,1.6,1.7
1.58,1.6,1.61,1.7
1.58,1.6,1.61,1.7
1.58,1.6,1.61,1.71
1.58,1.61,1.61,1.71
1.59,1.61,1.62,1.71
1.59,1.61,1.62,1.71
1.59,1.62,1.63,1.71
1.6,1.62,1.63,1.71
1.6,1.62,1.63,1.71
1.6,1.63,1.64,1.71
1.61,1.63,1.64,1.71
1.61,1.63,1.64,1.72
1.61,1.63,1.64,1.72
1.61,1.63,1.65,1.72
1.61,1.64,1.65,1.72
1.61,1.64,1.65,1.73
1.61,1.64,1.65,1.73
1.61,1.65,1.65,1.73
1.62,1.65,1.66,1.73
1.62,1.65,1.66,1.73
1.62,1.65,1.66,1.73
1.62,1.65,1.66,1.73
1.62,1.65,1.66,1.74
1.63,1.65,1.67,1.74
1.63,1.65,1.67,1.74
1.63,1.66,1.67,1.74
1.63,1.66,1.67,1.74
1.63,1.66,1.68,1.75
1.63,1.67,1.68,1.75
1.63,1.67,1.68,1.75
1.64,1.67,1.68,1.75
1.64,1.68,1.68,1.75
1.64,1.68,1.68,1.75
1.64,1.68,1.69,1.76
1.64,1.69,1.69,1.76
1.64,1.69,1.69,1.76
1.64,1.69,1.69,1.76
1.64,1.7,1.7,1.76
1.64,1.7,1.7,1.76
1.65,1.7,1.7,1.77
1.65,1.7,1.7,1.77
1.65,1.7,1.7,1.77
1.65,1.7,1.7,1.77
1.65,1.7,1.7,1.77
1.65,1.7,1.7,1.77
1.65,1.71,1.71,1.78
1.65,1.71,1.71,1.78
1.65,1.71,1.71,1.78
1.65,1.71,1.71,1.78
1.66,1.71,1.71,1.78
1.66,1.71,1.71,1.78
1.66,1.71,1.72,1.78
1.66,1.71,1.72,1.78
1.66,1.71,1.72,1.78
1.66,1.71,1.72,1.78
1.66,1.72,1.72,1.78
1.66,1.72,1.72,1.78
1.66,1.72,1.72,1.79
1.66,1.72,1.72,1.79
1.66,1.72,1.73,1.79
1.67,1.72,1.74,1.79
1.67,1.72,1.74,1.79
1.67,1.72,1.74,1.79
1.67,1.73,1.74,1.79
1.67,1.73,1.74,1.79
1.67,1.73,1.75,1.79
1.67,1.73,1.75,1.79
1.67,1.73,1.76,1.79
1.68,1.73,1.76,1.79
1.68,1.73,1.76,1.8
1.68,1.73,1.76,1.8
1.68,1.73,1.76,1.8
1.69,1.73,1.76,1.8
1.69,1.74,1.76,1.8
1.69,1.74,1.76,1.8
1.69,1.74,1.76,1.8
1.69,1.74,1.77,1.8
1.69,1.74,1.77,1.8
1.69,1.74,1.77,1.8
1.69,1.74,1.77,1.8
1.7,1.74,1.77,1.81
1.7,1.75,1.78,1.81
1.7,1.75,1.78,1.81
1.7,1.75,1.78,1.81
1.7,1.75,1.78,1.81
1.7,1.75,1.78,1.81
1.7,1.75,1.78,1.81
1.7,1.76,1.78,1.82
1.7,1.76,1.79,1.82
1.71,1.76,1.79,1.82
1.71,1.76,1.79,1.82
1.71,1.76,1.79,1.82
1.71,1.76,1.79,1.82
1.71,1.76,1.79,1.82
1.71,1.77,1.79,1.82
1.71,1.77,1.79,1.83
1.71,1.77,1.79,1.83
1.71,1.77,1.79,1.83
1.71,1.78,1.79,1.83
1.71,1.78,1.79,1.83
1.72,1.78,1.79,1.83
1.72,1.78,1.79,1.83
1.72,1.78,1.79,1.83
1.72,1.78,1.79,1.83
1.72,1.78,1.8,1.83
1.73,1.79,1.8,1.83
1.73,1.79,1.8,1.83
1.73,1.79,1.8,1.83
1.73,1.79,1.8,1.83
1.73,1.79,1.8,1.83
1.73,1.79,1.81,1.84
1.74,1.79,1.81,1.84
1.74,1.79,1.81,1.84
1.74,1.8,1.81,1.84
1.74,1.8,1.82,1.84
1.74,1.8,1.82,1.84
1.74,1.8,1.82,1.84
1.74,1.8,1.82,1.84
1.74,1.8,1.82,1.85
1.74,1.8,1.83,1.85
1.75,1.8,1.83,1.85
1.75,1.8,1.83,1.85
1.75,1.81,1.83,1.85
1.75,1.81,1.83,1.85
1.75,1.81,1.83,1.85
1.75,1.81,1.83,1.85
1.75,1.81,1.83,1.85
1.76,1.81,1.83,1.85
1.76,1.81,1.83,1.86
1.76,1.81,1.84,1.86
1.76,1.81,1.84,1.86
1.76,1.81,1.84,1.86
1.76,1.82,1.84,1.86
1.76,1.82,1.84,1.86
1.76,1.82,1.84,1.86
1.77,1.82,1.84,1.86
1.77,1.82,1.84,1.86
1.77,1.82,1.84,1.86
1.77,1.82,1.84,1.86
1.77,1.82,1.85,1.86
1.77,1.82,1.85,1.87
1.77,1.82,1.85,1.87
1.78,1.82,1.85,1.87
1.78,1.82,1.85,1.87
1.78,1.82,1.85,1.87
1.78,1.82,1.85,1.87
1.78,1.82,1.86,1.87
1.78,1.82,1.86,1.87
1.78,1.82,1.86,1.87
1.79,1.83,1.86,1.87
1.79,1.83,1.86,1.87
1.79,1.83,1.86,1.87
1.79,1.83,1.86,1.87
1.79,1.83,1.86,1.87
1.79,1.83,1.86,1.88
1.79,1.83,1.86,1.88
1.8,1.83,1.87,1.88
1.8,1.83,1.87,1.88
1.8,1.84,1.87,1.88
1.8,1.84,1.87,1.88
1.81,1.84,1.87,1.88
1.81,1.84,1.87,1.88
1.81,1.84,1.87,1.88
1.81,1.84,1.87,1.88
1.81,1.84,1.88,1.88
1.81,1.84,1.88,1.88
1.81,1.84,1.88,1.88
1.81,1.85,1.88,1.88
1.81,1.85,1.88,1.88
1.81,1.85,1.88,1.88
1.82,1.85,1.89,1.88
1.82,1.85,1.89,1.88
1.82,1.85,1.89,1.89
1.82,1.85,1.89,1.89
1.82,1.85,1.89,1.89
1.82,1.85,1.9,1.89
1.82,1.85,1.9,1.89
1.82,1.86,1.9,1.89
1.82,1.86,1.9,1.89
1.82,1.86,1.9,1.89
1.82,1.86,1.9,1.89
1.82,1.87,1.9,1.89
1.82,1.87,1.9,1.89
1.82,1.87,1.9,1.89
1.82,1.87,1.9,1.9
1.83,1.87,1.9,1.9
1.83,1.87,1.9,1.9
1.83,1.88,1.91,1.9
1.83,1.88,1.91,1.9
1.83,1.88,1.91,1.9
1.83,1.88,1.91,1.9
